company,segment,location,website,public_contact,why_first_batch_fit,source
Strana,Fractional CMO / marketing strategy,Los Angeles CA,https://thestrana.com/,"Contact form / phone listed","Founder and executive-team buyer, clear fractional CMO positioning, likely cares about AI answer visibility for category searches","https://thestrana.com/"
C4 Technologies,Managed IT services,San Diego CA,https://c4inc.com/,"Contact form","Small-business MSP with local positioning, clear service categories, and comparison-heavy buyer journey","https://c4inc.com/"
Skyline IT Services,Managed IT and cybersecurity,San Diego CA,https://www.skylineits.com/,"Contact form","Local MSP with strong service and trust claims that can be checked against AI answer accuracy","https://www.skylineits.com/about-us/"
YMNet,Managed IT services,Carlsbad / San Diego CA,https://www.ymnet.net/,sales@ymnet.net,"Locally owned IT provider with academic/parish/business niche and public sales email","https://www.ymnet.net/"
FYI Systems,Managed services / security provider,San Diego CA,https://fyisys.com/,info@fyisys.com,"Long-standing MSSP with clear local market and competitor-rich discovery searches","https://fyisys.com/"
centrexIT,Managed IT and cybersecurity,San Diego CA,https://centrexit.com/,"Contact form","Differentiated positioning and founder story make it a good test for AI answer accuracy and citation gaps","https://centrexit.com/"
C3SD Inc.,Managed IT / cybersecurity / IT consulting,Carlsbad / San Diego CA,https://www.c3sd.com/,"Contact form","Local MSP serving SMBs with broad services and likely competition in AI/local recommendation prompts","https://www.c3sd.com/"
619 IT,Managed IT and cybersecurity,San Diego CA,https://619it.com/,info@619it.com,"People-first local positioning and public contact details; good fit for category shortlist prompts","https://619it.com/"
724 IT,Managed IT services,San Diego CA,https://724it.com/contact/,"Contact form / phone","Contact page is public, service positioning is local, and the audit can test their visibility against nearby MSP competitors","https://724it.com/contact/"
Emarketed,AEO / digital marketing agency,Los Angeles CA,https://emarketed.com/,"Contact form","Already positions around AEO, so this is a higher-awareness prospect for validation and possible competitive feedback","https://emarketed.com/about/"
